id,name,tets,fibered,num_field_max_deg,fund_max_deg,fund_any_nonmonic,fund_torsion_infos,alex_poly,alex_deg,alex_nonmonic,th_taut,taut_tri,Z2_wonky,in_S3,trace_field_deg
27673,o9_10817,9,-1,28.0,2.0,1.0,"[(1,28,0,2),(1,8,0,2),(1,4,1,2)]",11*a^2-23*a+11,2,1,1,jLAwwMQcbbdfgihiihqnxjqssjs_BbaB,0,1,28.0
27674,o9_10818,9,-1,28.0,2.0,1.0,"[(0,4,1,2),(0,4,0,2),(0,4,0,2),(1,28,0,2),(1,8,0,2),(1,4,1,2)]",11*a^2+23*a+11,2,1,1,jLAwwMQcbbdfgihiihqnxjqssfo_BaaB,0,0,28.0
27695,o9_10839,9,-1,46.0,6.0,1.0,"[(0,46,0,6),(0,33,0,6),(1,46,0,6),(1,42,0,6)]",12*a^4+12*a^3+19*a^2+12*a+12,4,1,3,jLAwwAQbcbdfghihihhwqjqqqjj_BbBa,0,0,46.0
27696,o9_10840,9,-1,46.0,6.0,1.0,"[(1,46,0,6),(1,18,0,6)]",12*a^4-12*a^3+19*a^2-12*a+12,4,1,3,jLAwwAQbcbdfghiiihhwqjqqqxh_BabB,0,0,46.0
27698,o9_10842,9,-1,34.0,6.0,1.0,"[(0,22,0,6),(0,5,0,6),(0,5,0,6),(1,34,0,6)]",5*a^4+5*a^3+2*a^2+5*a+5,4,1,3,jLALLAQbcbefhhihihhjsuskqnj_abBb,0,0,34.0
27702,o9_10846,9,-1,50.0,6.0,1.0,"[(0,50,0,6),(0,18,0,6),(0,9,0,6),(1,50,0,6),(1,30,0,6)]",13*a^4+13*a^3+5*a^2+13*a+13,4,1,3,jLAwwAQbcbdfghihixhnqjqxhnr_BabB,0,0,50.0
27703,o9_10847,9,-1,50.0,6.0,1.0,"[(1,50,0,6)]",13*a^4-13*a^3+5*a^2-13*a+13,4,1,3,jLAwwAQbcbdfghiiixhnqjqxhld_BaBB,0,0,50.0
27713,o9_10857,9,-1,26.0,6.0,1.0,"[(0,26,0,6),(0,14,0,6),(1,24,0,6),(1,14,0,6)]",4*a^4+7*a^3+7*a^2+7*a+4,4,1,3,jLALPzQbcbegfhihihhjrhahhkj_aBbB,0,0,14.0
27718,o9_10862,9,-1,40.0,2.0,1.0,"[(0,6,1,2),(0,6,0,2),(0,6,0,2),(1,40,0,2),(1,12,0,2),(1,6,1,2)]",8*a^2+47*a+8,2,1,1,jLALzAQbcbefhgiiihxwnxknxti_abBb,0,0,40.0
27719,o9_10863,9,-1,40.0,2.0,1.0,"[(0,15,0,2),(1,40,0,2),(1,12,0,2),(1,6,1,2)]",8*a^2-47*a+8,2,1,1,jLALzAQbcbefhgiiihxwnxknxpe_bBab,0,0,40.0
27727,o9_10871,9,-1,52.0,6.0,1.0,"[(0,48,0,6),(0,12,0,6),(0,12,0,6),(0,3,1,6),(0,3,1,6),(1,52,0,6),(1,40,0,6)]",13*a^4+13*a^3+18*a^2+13*a+13,4,1,3,jLAwwAQbcbdfhgihihxwqwhhhrw_BbBa,0,0,52.0
27728,o9_10872,9,-1,52.0,6.0,1.0,"[(1,52,0,6),(1,6,0,6),(1,6,0,6)]",13*a^4-13*a^3+18*a^2-13*a+13,4,1,3,jLAwwAQbcbdfhgiiihxwqwhhhxq_BbaB,0,0,52.0
27758,o9_10902,9,-1,36.0,2.0,1.0,"[(0,3,0,2),(0,3,0,2),(0,3,0,2),(0,3,0,2),(1,36,0,2),(1,6,0,2),(1,6,0,2)]",11*a^2+32*a+11,2,1,1,jLAwwMQbcbdfgihiixhjqjqssfo_aBba,0,0,36.0
27759,o9_10903,9,-1,36.0,2.0,1.0,"[(0,2,1,2),(0,2,1,2),(1,36,0,2),(1,6,0,2),(1,6,0,2)]",11*a^2-32*a+11,2,1,1,jLAwwMQbcbdfgihiixhjqjqssjs_BbaB,0,0,36.0
27765,o9_10909,9,-1,44.0,2.0,1.0,"[(1,44,0,2)]",13*a^2-2*a+13,2,1,1,jLAwwMQcbbdfgihiihqjxjqsscv_BaaB,0,0,44.0
27766,o9_10910,9,-1,44.0,2.0,1.0,"[(0,6,0,2),(0,3,1,2),(0,3,1,2),(1,44,0,2)]",13*a^2+2*a+13,2,1,1,jLAwwMQcbbdfgihiihqjxjqsskn_BaaB,0,0,44.0
27775,o9_10919,9,-1,45.0,2.0,1.0,"[(0,18,0,2),(1,45,0,2)]",13*a^2+11*a+13,2,1,1,jLAwwMQbcbdfgihiixhnqjqsskn_aBba,0,0,45.0
27776,o9_10920,9,-1,45.0,2.0,1.0,"[(1,45,0,2)]",13*a^2-11*a+13,2,1,1,jLAwwMQbcbdfgihiixhnqjqsscv_BaaB,0,0,45.0
27789,o9_10933,9,-1,36.0,2.0,1.0,"[(0,6,0,2),(1,36,0,2),(1,18,0,2)]",11*a^2-35*a+11,2,1,1,jLAwwMQbcbdfgihiixhnhrhwwrw_BbBa,0,0,36.0
27790,o9_10934,9,-1,36.0,2.0,1.0,"[(0,18,0,2),(1,36,0,2),(1,18,0,2)]",11*a^2+35*a+11,2,1,1,jLAwwMQbcbdfgihiixhnhrhwwbg_aBba,0,0,36.0
27795,o9_10939,9,-1,32.0,2.0,1.0,"[(0,16,0,2),(1,32,0,2),(1,16,0,2)]",12*a^2+27*a+12,2,1,1,jLAwwMQcbbdfgihiihhrxjqssfo_BaaB,0,0,32.0
27796,o9_10940,9,-1,32.0,2.0,1.0,"[(1,32,0,2),(1,16,0,2)]",12*a^2-27*a+12,2,1,1,jLAwwMQcbbdfgihiihhrxjqssjs_BbaB,0,0,32.0
27803,o9_10947,9,-1,50.0,6.0,1.0,"[(1,50,0,6),(1,12,0,6),(1,6,1,6)]",13*a^4-13*a^3+21*a^2-13*a+13,4,1,3,jLAwwAQbcbdfghiiixhnqjqqqxh_BabB,0,0,50.0
27804,o9_10948,9,-1,50.0,6.0,1.0,"[(0,50,0,6),(0,36,0,6),(1,50,0,6),(1,46,0,6)]",13*a^4+13*a^3+21*a^2+13*a+13,4,1,3,jLAwwAQbcbdfghihixhnqjqqqjj_BbBa,0,0,50.0
27838,o9_10982,9,-1,36.0,2.0,1.0,"[(0,18,0,2),(1,36,0,2),(1,18,0,2)]",12*a^2+33*a+12,2,1,1,jLAwwMQbcbdfgihiihhwqjqssfo_aBba,0,0,36.0
27839,o9_10983,9,-1,36.0,2.0,1.0,"[(0,3,0,2),(1,36,0,2),(1,18,0,2)]",12*a^2-33*a+12,2,1,1,jLAwwMQbcbdfgihiihhwqjqssjs_BbaB,0,0,36.0
27863,o9_11007,9,-1,36.0,2.0,1.0,"[(1,36,0,2),(1,6,0,2),(1,6,0,2)]",13*a^2-28*a+13,2,1,1,jLAwwMQcbbdfgihiihqjxjqssjs_BbaB,0,0,36.0
27864,o9_11008,9,-1,36.0,2.0,1.0,"[(0,3,0,2),(0,3,0,2),(0,3,0,2),(0,3,0,2),(1,36,0,2),(1,6,0,2),(1,6,0,2)]",13*a^2+28*a+13,2,1,1,jLAwwMQcbbdfgihiihqjxjqssfo_BaaB,0,0,36.0
27910,o9_11054,9,-1,40.0,2.0,1.0,"[(0,6,1,2),(0,6,0,2),(0,6,0,2),(1,40,0,2),(1,12,0,2),(1,6,1,2)]",13*a^2+37*a+13,2,1,1,jLAwwMQbcbdfgihiixhnqjqssfo_aBba,0,0,40.0
